league,Team,Conf/Div,Win Total,Over,Under,Imp P(Over),Imp P(Under),P(Over) devig,E[Wins],Brand,Popularity,Avg Capture,OOU Games,On-Field EV,Off-Field EV,IPO EV,Contested Off-Field %,Discount,Listed IPO
NCAA,Air Force,Mountain West,7.5,125,-160,0.44444444444444442,0.61538461538461542,0.41935483870967738,7.0522026906285298,30,41.51,0.55389999999999995,1,35.261013453142652,17.732249999999997,52.993263453142646,0.28743747803847852,2.349975644924731E-2,51.75
NCAA,Louisiana,Sun Belt,7.5,115,-145,0.46511627906976744,0.59183673469387754,0.44005388414907948,7.1681682770075357,24,38.29,0.52700000000000002,1,35.840841385037677,16.9925,52.833341385037677,0.27430595188712131,2.2791360130848787E-2,51.63
NCAA,East Carolina,AAC,7.5,115,-150,0.46511627906976744,0.6,0.43668122270742354,7.1493443132730956,26,39.43,0.52290000000000003,1,35.74672156636548,16.879750000000001,52.626471566365481,0.27324176544623896,2.2733951285287244E-2,51.43
NCAA,Florida,SEC,7.5,130,-165,0.43478260869565216,0.62264150943396224,0.4111714507370054,7.0060282749437315,82,72.55,0.54579999999999995,1,35.03014137471866,17.509499999999999,52.539641374718656,0.28567952896652932,2.3404921725838395E-2,51.31
NCAA,Arizona,Big 12,7.5,110,-140,0.47619047619047616,0.58333333333333337,0.449438202247191,7.2204221201109373,43,49.87,0.50170000000000003,1,36.102110600554688,16.296750000000003,52.398860600554691,0.26330248104390941,2.2197764371674131E-2,51.24
NCAA,Western Kentucky,CUSA,6.5,-180,135,0.6428571428571429,0.42553191489361702,0.60170697012802277,7.0670893224956286,20,35.56,0.52800000000000002,1,35.335446612478144,17.02,52.355446612478147,0.27733504228267575,2.2954768135339212E-2,51.15
NCAA,Western Michigan,MAC,7.5,135,-175,0.42553191489361702,0.63636363636363635,0.40072859744990891,6.9467843309344603,22,36.36,0.53569999999999995,1,34.733921654672301,17.231749999999998,51.965671654672299,0.28349003353400221,2.328680670358774E-2,50.76
NCAA,Virginia Tech,ACC,6.5,-160,125,0.61538461538461542,0.44444444444444442,0.58064516129032262,6.9477973093714702,52,54.36,0.53480000000000005,1,34.738986546857348,17.207000000000001,51.945986546857348,0.28312100660045608,2.3266899092080837E-2,50.74
NCAA,Fresno State,Pac-12,7.5,125,-160,0.44444444444444442,0.61538461538461542,0.41935483870967738,7.0522026906285298,26,39.11,0.50829999999999997,1,35.261013453142652,16.478249999999999,51.739263453142655,0.27016716255845652,2.2568088053463466E-2,50.57
NCAA,Ohio,MAC,6.5,-150,120,0.6,0.45454545454545453,0.56896551724137934,6.8822303362059003,22,36.14,0.53420000000000001,1,34.411151681029502,17.1905,51.601651681029502,0.28469049965314813,2.3351567323896698E-2,50.4
